ID;Abbrev;Name;Y;X;Z;Type
10102;VSSAB;Saas Balen;637837;110929;1535;PrecipStation
341;SAP;Safien Platz;743556;171437;1296;PrecipStation
211;SAI;Saignelégier;565379;234076;883;PrecipStation
4319;VSSFE;Salanfe;564020;110569;1965;PrecipStation
10108;VSSAL;Saleina;573291;92777;1600;PrecipStation
3;HAI;Salen-Reutenen;719099;279047;719;SwissMetNet
355;SAX;Salez / Saxerriet;755558;233374;436;PrecipStation
29;SAM;Samedan;787250;155685;1709;SwissMetNet
35;SAE;Säntis;744184;234918;2502;SwissMetNet
152;SAG;Sattel, SZ;690999;215145;790;SwissMetNet
465;SVG;Savognin;765387;162663;1172;PrecipStation
647;SUA;Schaan;755510;228260;444;PrecipStation
70;SHA;Schaffhausen;688703;282804;438;SwissMetNet
1024;SRS;Schiers;769617;205125;626;SwissMetNet
454;SCM;Schmerikon;713725;231533;408;SwissMetNet
859;SPF;Schüpfheim;643684;199711;744;SwissMetNet
30;SCU;Scuol;817138;186393;1304;SwissMetNet
24;SIA;Segl-Maria;778575;144976;1804;SwissMetNet
141;SIE;Siebnen;710821;225538;452;PrecipStation
4644;VSSIE;Sierre;609073;127492;535;PrecipStation
388;SIH;Sihlbrugg;686318;230586;549;PrecipStation
571;SIM;Simplon-Dorf;647683;116340;1465;SwissMetNet
49;SIO;Sion;591633;118584;482;SwissMetNet
423;SOG;Soglio;761393;134474;1086;PrecipStation
4496;VSSOR;Sorniot-Lac Inférieur;573830;112848;1990;PrecipStation
224;SAN;St. Antönien;781634;205103;1456;PrecipStation
181;STC;St. Chrischona;618695;269036;493;SwissMetNet
56;STG;St. Gallen;747865;254588;776;SwissMetNet
25;SMM;Sta. Maria, Val Müstair;828861;165580;1386;SwissMetNet
52;SBO;Stabio;716049;77973;353;SwissMetNet
4313;VSSTA;Stafel;618616;94810;2183;PrecipStation
118;STB;Starkenbach;737313;227576;897;PrecipStation
855;STK;Steckborn;715871;280916;397;SwissMetNet
5005;AGSTE;Stetten;665026;249877;355;PrecipStation
342;STP;Stöckalp;664320;183550;1070;PrecipStation
331;PRE;St-Prex;523549;148525;425;SwissMetNet
172;SUS;Susch;802002;181593;1416;PrecipStation
738;THU;Thun;611201;177640;570;SwissMetNet
407;THS;Thusis;753155;175089;672;PrecipStation
273;TIT;Titlis;675400;180400;3040;SwissMetNet
290;CTO;Torricella / Crana;712695;103746;1002;PrecipStation
4495;VSTRI;Trient;565634;99517;1329;PrecipStation
274;TRU;Trun;719985;178224;834;PrecipStation
4498;VSTSN;Tsanfleuron;589461;129932;2052;PrecipStation
638;TST;Tschiertschen;765538;187679;1273;PrecipStation
4316;VSTUR;Turtmann;619600;113183;2180;PrecipStation
392;UEB;Uetliberg;679454;245034;854;SwissMetNet
45;ULR;Ulrichen;666748;150767;1346;SwissMetNet
797;UNK;Unterkulm;650838;241212;454;PrecipStation
247;URN;Urnäsch;739205;241765;825;PrecipStation
36;VAD;Vaduz;757723;221699;457;SwissMetNet
861;VAB;Valbella;761635;180386;1568;SwissMetNet
338;VLS;Vals;734016;165552;1242;SwissMetNet
645;VAE;Vättis;752732;197282;939;PrecipStation
10106;VSVER;Vercorin;609075;120732;1650;PrecipStation
205;VEV;Vevey / Corseaux;552106;146847;405;SwissMetNet
1118;VIO;Vicosoprano;768485;135866;1089;SwissMetNet
762;VIT;Villars-Tiercelin;544198;163651;859;SwissMetNet
64;VIS;Visp;631151;128024;639;SwissMetNet
4640;VSVIS;Visperterminen;635896;123602;1352;PrecipStation
280;VRI;Vrin;727424;168526;1384;PrecipStation
81;WAE;Wädenswil;693847;230744;485;SwissMetNet
10675;WAR;Wartau;756872;218250;468;PrecipStation
385;WEE;Weesen;724983;221383;425;PrecipStation
73;WFJ;Weissfluhjoch;780615;189634;2691;SwissMetNet
192;WIN;Winterthur / Seen;699845;259054;506;PrecipStation
240;WIT;Wittnau;639941;258983;463;PrecipStation
97;PSI;Würenlingen / PSI;659355;265381;334;SwissMetNet
34;WYN;Wynau;626405;233849;422;SwissMetNet
41;ZER;Zermatt;624299;97575;1638;SwissMetNet
281;ZEV;Zervreila;728780;159993;1738;PrecipStation
83;REH;Zürich / Affoltern;681432;253548;444;SwissMetNet
71;SMA;Zürich / Fluntern;685117;248066;556;SwissMetNet
59;KLO;Zürich / Kloten;682710;259339;426;SwissMetNet
729;ZWE;Zweisimmen;595870;155480;1015;PrecipStation
714;ZWK;Zwillikon;675138;238165;461;PrecipStation
999;VDL;VirtualGaugeLSN;535500;151500;372;VirtualGauge
